Row ID,#water_source,#water_tech,Water Source Type
298646,,Rainwater Harvest Tank,Rainwater
322749,,Protected spring,Protected spring
350737,,Gravity Fed System,Null
295301,,Protected spring,Protected spring
209964,,Protected spring,Protected spring
312020,,Protected spring,Protected spring
48944,Shallow well,None Hand pump,Protected dug well
13782,,DUG WELL,Unprotected dug well
295683,,Protected spring,Protected spring
26458,Shallow well,Nira/Tanira Hand pump,Protected dug well
32894,Shallow well,None Communal standpipe multiple,Protected dug well
179571,,STAND POST,Public tap or standpipe
291611,,Shallow well,Unprotected dug well
57584,River,Gravity Communal standpipe,Surface water
320559,,Protected spring,Protected spring
397196,,Hand pumps/Number of hand pumps,Borehole or tubewell
84103,Protected Well (no pump),Bucket,Protected dug well
219248,,Deep borehole,Borehole or tubewell
257234,,Shallow well,Unprotected dug well
190808,,DUG WELL,Unprotected dug well
213003,,Shallow well,Unprotected dug well
308983,,Rainwater Harvest Tank,Rainwater
66116,Protected Well (no pump),Bucket,Protected dug well
316293,,Public Stand Post,Public tap or standpipe
388855,Borehole,,Borehole or tubewell
112353,Dug Well,,Unprotected dug well
295866,,Protected spring,Protected spring
308138,,Yard tap for public use,Piped into public tap or basin
31317,Shallow well,None Other,Unprotected dug well
145069,Tube Well,KABUL,Borehole or tubewell
98277,Pump on hand-dug well,Unidentified,Protected dug well
96962,Protected Well (no pump),Bucket,Protected dug well
19630,Spring,Gravity Communal standpipe,Protected spring
49507,Machine Drilled Borehole,Submersible Communal standpipe,Borehole or tubewell
83761,Protected Well (no pump),Bucket,Protected dug well
128662,Dug Well,PAMIR,Unprotected dug well
223338,,Deep borehole,Borehole or tubewell
2716,,STAND POST,Public tap or standpipe
277112,,Yard tap for public use,Piped into public tap or basin
206738,,Protected spring,Protected spring
283426,,Shallow well,Unprotected dug well
351073,,PHE 6 Handpump,Borehole or tubewell
1737,,DUG WELL,Unprotected dug well
225895,,Shallow well,Unprotected dug well
4111,,DUG WELL,Unprotected dug well
324057,,Public Stand Post,Public tap or standpipe
253547,,Public Stand Post,Public tap or standpipe
6188,,TUBE WELL,Borehole or tubewell
294895,,Rainwater Harvest Tank,Rainwater
148762,Dug Well,KABUL,Unprotected dug well
32886,Dam,Mono Communal standpipe multiple,Surface water
278556,,Yard tap for public use,Piped into public tap or basin
294329,,Shallow well,Unprotected dug well
126986,Stand Post,,Public tap or standpipe
60347,,Non-Mechanized Borehole,Borehole or tubewell
273520,,Shallow well,Unprotected dug well
312303,,Public Stand Post,Public tap or standpipe
289423,,Yard tap for public use,Piped into public tap or basin
206139,,Deep borehole,Borehole or tubewell
8996,,DUG WELL,Unprotected dug well
176049,Manual pump on hand-dug well,Afridev,Protected dug well
4017,,DUG WELL,Unprotected dug well
64804,Standpipe or Tapstand,,Public tap or standpipe
322644,,Shallow well,Unprotected dug well
99743,Protected Well (no pump),Bucket,Protected dug well
276725,,Protected spring,Protected spring
263392,,Shallow well,Unprotected dug well
273559,,Shallow well,Unprotected dug well
78357,Pump on hand-dug well,India Mark,Protected dug well
312905,,Deep borehole,Borehole or tubewell
202867,,Deep borehole,Borehole or tubewell
114169,Tube Well,INDUS,Borehole or tubewell
10011,,DUG WELL,Unprotected dug well
336150,Tube well or borehole,Hand Pump|Afridev,Borehole or tubewell
310736,,Protected spring,Protected spring
84113,Protected Well (no pump),Bucket,Protected dug well
179558,,STAND POST,Public tap or standpipe
276956,,Protected spring,Protected spring
353416,Protected Shallow Well,,Protected dug well
58544,,Non-Mechanized Borehole,Borehole or tubewell
28445,Spring,Gravity Communal standpipe multiple,Protected spring
1405,,DUG WELL,Unprotected dug well
277017,,Protected spring,Protected spring
64527,Pump on borehole,Kardia,Borehole or tubewell
244596,,Public Stand Post,Public tap or standpipe
182013,,TUBE WELL,Borehole or tubewell
63211,Pump on hand-dug well,India Mark,Protected dug well
175345,Manual pump on hand-dug well,Afridev,Protected dug well
180711,,TUBE WELL,Borehole or tubewell
31975,Shallow well,Other Hand pump,Protected dug well
27508,Shallow well,Nira/Tanira Communal standpipe,Protected dug well
237673,,Deep borehole,Borehole or tubewell
213624,,Deep borehole,Borehole or tubewell
82130,Protected Well (no pump),Bucket,Protected dug well
150212,Tube Well,PAMIR,Borehole or tubewell
316000,,Yard tap for public use,Piped into public tap or basin
64340,Standpipe or Tapstand,,Public tap or standpipe
253936,,Deep borehole,Borehole or tubewell
396270,,Hand pumps/Number of hand pumps,Borehole or tubewell
339038,Protected Deep Borehole,,Borehole or tubewell
254055,,Deep borehole,Borehole or tubewell
25869,River/Lake,Gravity Communal standpipe,Surface water
222783,,Deep borehole,Borehole or tubewell
15311,Spring,Gravity Other,Protected spring
213029,,Deep borehole,Borehole or tubewell
4060,,DUG WELL,Unprotected dug well
219893,,Deep borehole,Borehole or tubewell
95568,Pump on borehole,Kardia,Borehole or tubewell
212169,,Deep borehole,Borehole or tubewell
395347,Hand Dug Well,Manual/foot-Afridev,Unprotected dug well
299476,,Rainwater Harvest Tank,Rainwater
222368,,Shallow well,Unprotected dug well
243561,,Protected spring,Protected spring
14972,Rainwater harvesting,Gravity Communal standpipe,Rainwater
60663,,Non-Mechanized Borehole,Borehole or tubewell
280145,,Shallow well,Unprotected dug well
196114,,DUG WELL,Unprotected dug well
352311,,Temple Pump (Mandir Pump),Borehole or tubewell
176901,Manual pump on hand-dug well,Afridev,Protected dug well
213519,,Shallow well,Unprotected dug well
285347,,Yard tap for public use,Piped into public tap or basin
131248,Dug Well,,Unprotected dug well
162490,Manual pump on hand-dug well,Afridev,Protected dug well
206895,,Deep borehole,Borehole or tubewell
388480,Borehole,,Borehole or tubewell
96318,Pump on hand-dug well,India Mark,Protected dug well
205472,,Protected spring,Protected spring
308168,,Public Stand Post,Public tap or standpipe
53933,Machine-drilled borehole,Mono Communal standpipe multiple,Borehole or tubewell
113835,Tube Well,PAMIR,Borehole or tubewell
270371,,Deep borehole,Borehole or tubewell
338691,,Borehole with hand pump,Borehole or tubewell
286273,,Protected spring,Protected spring
389251,Borehole,IMK II,Borehole or tubewell
271438,,Protected spring,Protected spring
220600,,Deep borehole,Borehole or tubewell
144166,Stand Post,,Public tap or standpipe
150966,Tube Well,INDUS,Borehole or tubewell
62721,,Non-Mechanized Borehole,Borehole or tubewell
390472,Borehole,,Borehole or tubewell
312451,,Rainwater Harvest Tank,Rainwater
62415,,Non-Mechanized Borehole,Borehole or tubewell
324708,,Public Stand Post,Public tap or standpipe
128709,Tube Well,INDUS,Borehole or tubewell
351467,,PHE 6 Handpump,Borehole or tubewell
55106,Machine-drilled borehole,Mono Communal standpipe multiple,Borehole or tubewell
226246,,Deep borehole,Borehole or tubewell
5914,,DUG WELL,Unprotected dug well
392326,Hand Dug Well,Manual/foot-Afridev,Unprotected dug well
178993,,STAND POST,Public tap or standpipe
127650,Dug Well,INDUS,Unprotected dug well
338020,Unprotected Spring,,Unprotected spring
61417,,Non-Mechanized Borehole,Borehole or tubewell
320481,,Protected spring,Protected spring
270625,,Protected spring,Protected spring
211379,,Deep borehole,Borehole or tubewell
284960,,Protected spring,Protected spring
239726,,Deep borehole,Borehole or tubewell
118182,Dug Well,,Unprotected dug well
192143,,DUG WELL,Unprotected dug well
202335,Spring,Solar Pump,Protected spring
230068,,Protected spring,Protected spring
224962,,Deep borehole,Borehole or tubewell
395487,Borehole,Manual/foot-Afridev,Borehole or tubewell
183201,,TUBE WELL,Borehole or tubewell
339357,Protected Deep Borehole,,Borehole or tubewell
350016,,Gravity Fed System with Pump,Null
7330,,DUG WELL,Unprotected dug well
52149,Hand-drilled tube well,SWN 80 Hand pump,Borehole or tubewell
117754,Tube Well,PAMIR,Borehole or tubewell
60477,,Mechanized Borehole-Generator,Borehole or tubewell
310388,,Rainwater Harvest Tank,Rainwater
129143,Dug Well,INDUS,Unprotected dug well
145686,Tube Well,INDUS,Borehole or tubewell
26408,Shallow well,Nira/Tanira Hand pump,Protected dug well
215808,,Deep borehole,Borehole or tubewell
160220,Boreholes,Manual (hand pump),Borehole or tubewell
180239,,TUBE WELL,Borehole or tubewell
392115,Hand Dug Well,Manual/foot-Afridev,Unprotected dug well
279700,,Shallow well,Unprotected dug well
258818,,Shallow well,Unprotected dug well
212453,,Protected spring,Protected spring
117258,Tube Well,,Borehole or tubewell
77163,Pump on hand-dug well,India Mark,Protected dug well
244999,,Valley Tank,Null
132158,Tube Well,INDUS,Borehole or tubewell
217018,,Deep borehole,Borehole or tubewell
219006,,Deep borehole,Borehole or tubewell
389674,Borehole,,Borehole or tubewell
194661,,DUG WELL,Unprotected dug well
349668,,Protected Spring Catchment,Protected spring
67678,Water Kiosk with Tank,,Public tap or standpipe
281464,,Yard tap for public use,Piped into public tap or basin
6311,,DUG WELL,Unprotected dug well
15551,Spring,Gravity Communal standpipe,Protected spring
313164,,Protected spring,Protected spring
229971,,Deep borehole,Borehole or tubewell
167923,Manual pump on hand-dug well,Afridev,Protected dug well
64963,Standpipe or Tapstand,,Public tap or standpipe
199911,,DUG WELL,Unprotected dug well
98926,Protected Well (no pump),,Protected dug well
117427,Tube Well,INDUS,Borehole or tubewell
14787,Rainwater harvesting,Gravity Communal standpipe multiple,Rainwater
397177,,Hand pumps/Number of hand pumps,Borehole or tubewell
10405,,DUG WELL,Unprotected dug well
238533,,Deep borehole,Borehole or tubewell
13721,,DUG WELL,Unprotected dug well
218257,,Shallow well,Unprotected dug well
